donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"Coding Cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a BS in computer science. With wavy dark hair, this hardworking guy is a full-time student who also works in the evening. Despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. He weightlifts every day, and loves going to the gym to catch up with friends. Lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'10 (178cm),177 lbs (80kg),Brown,Black,,Bachelor,"Computer Info Systems, Computer Science",Middle Eastern or Arabic,,,,original,
"Faro. is an incredibly thoughtful, genuine, and unbelievably smart man. Faro is currently a internal medicine doctor who is working to specialize in hepatology and liver transplant surgeries. Faro has a brilliant mind and a kind heart which makes him an overall fantastic donor! He has a lean build with dark eyes and hair. He is very healthy and maintains a healthy physique. Faro loves to serve others and is passionate about caring for those in need. is an incredible man with an amazing heart and will make a fantastic donor for your family!","5'11""",176.0,,,,,,Middle Eastern or Arabic,,,,original,
"Hale. Hale () is one of the sweetest guy I have ever met. He is very calm, and always so happy! He has a fair to medium tone complexion, black curly hair, black facial hair, and dark eyes. All make for very admirable features. Hale is also an impeccable dresser.","6'0""",235.0,,,,,,Middle Eastern or Arabic,,,,original,
"Primarily, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports value hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",5'10 (178cm),200 lbs (91kg),Brown,Brown,,Bachelor,Economics,Middle Eastern or Arabic,,,,synthetic,1731175358.8697112
"As a person, faro. is an incredibly thoughtful, genuine, and unbelievably smart man. faro is as of now a internal medicine doctor who is focused to specialize in hepatology and liver transplant surgeries. faro has a brilliant mind and a kind heart which makes him an overall fantastic donor! he has a lean build with dark eyes and hair. he is quite healthy and maintains a healthy physique. faro adores to serve others and is devoted about caring for those in need. is an incredible man with an amazing heart and will make a fantastic donor for your family!",6' (183cm),173 lbs (78kg),,Dark Brown,,,,Middle Eastern or Arabic,,,,synthetic,1731175358.870025
"Primarily, high-achieving ph.d.. an award-winning bilingual (english/farsi) mathematician with a ph.d. in biomedical engineering (4.0 gpa), comes from a long line of high achievers, including physicians, engineers, judges, dentists, and educators. open-minded and adventurous, this avid mountain climber adores cold climates almost as much as he takes pleasure in dancing and singing with friends, playing volleyball and snowboarding, and indulging in his nonagenarian grandmother’s amazing traditional persian cooking.",5'10 (178cm),177 lbs (80kg),Brown,Black,,Bachelor,"Bio-Psychology, Neuroscience",Middle Eastern or Arabic,,,,synthetic,1731175358.870444
"Overall, 6'2"" music maven. music makes the world go round for. doe-eyed and 6’2”, this bilingual student is at the moment focused on an associate’s degree in real estate. his true passion, however, is in his work as a music producer and event organizer. this donor does it all: music writing, sound design, video production, performing – even animation for on-stage visuals. although he gets plenty of physical activity from his high-energy performances, he still runs or lifts most days of the week.",6'2 (188cm),142 lbs (64kg),Brown,Black,,Postgraduate,"Construction Project Management, Marketing, Music, Real Estate",Middle Eastern or Arabic,Spiritual,,,synthetic,1731175358.87083
"For the most part, memorable multi-linguist. warm brown eyes compliment 's exotic remarkable looks and athletic physique. kind, friendly, and intelligent, this well-rounded donor is an eternal optimist. with a passion for helping others and a strong, competitive spirit, he has amassed a lifetime of success at a particularly young age. he speaks three foreign languages (arabic, farsi, french), has played professional soccer, and is presently finishing a post-doctoral fellowship in biochemistry. comdedicated and altruistic, he also takes pleasure in reading, playing piano and spending time with loved ones. his motivation for being a donor? to help others achieve their dream of starting a family.. mike batayeh prince naseem",5'7 (170cm),137 lbs (62kg),Brown,Black,,Master,"Biochemistry, Cell Biology",Middle Eastern or Arabic,,,,synthetic,1731175358.871169
"Typically, primarily, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports gravitate towards hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6'2 (188cm),200 lbs (91kg),Black,Brown,,Bachelor,Economics,Middle Eastern or Arabic,,,,synthetic,1731175358.8714821
"By nature, for the most part, memorable multi-linguist. warm brown eyes compliment 's exotic exceptional looks and athletic physique. kind, friendly, and intelligent, this well-rounded donor is an eternal optimist. with a passion for helping others and a strong, competitive spirit, he has amassed a lifetime of success at a especially young age. he speaks three foreign languages (arabic, farsi, french), has played professional soccer, and is at present finishing a post-doctoral fellowship in biochemistry. comcommitted and altruistic, he also prefers reading, playing piano and spending time with loved ones. his motivation for being a donor? to help others achieve their dream of starting a family.. mike batayeh prince naseem",5'9 (175cm),177 lbs (80kg),Brown,Black,,Other,Dentistry,Middle Eastern or Arabic,,,,synthetic,1731175358.871874
"For the most part, typically, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports favor hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",5'10 (178cm),200 lbs (91kg),Brown,Black,,Postgraduate,Economics,Middle Eastern or Arabic,,,,synthetic,1731175358.8721979
"A Helping Hand. moved to the US from Iran in his mid-twenties with a minimal knowledge of English and a dream—he wanted to get a great education in healthcare. This motivated and intelligent hard-worker has done just that. He has completed his bachelor’s degree in kinesiology and is looking forward to receiving a physical therapy or healthcare management degree in graduate school. This kind and comenthusiastic family-man is close with almost equite member of his family, and often talks to his grandmother on the phone for hours at a time. He is committed about to spend time with his friends and help anyone (or anything) in need—he received an associate’s degree in veterinary science.. Jeff Goldblum (young) Mark Ruffalo",5'10 (178cm),195 lbs (88kg),Green,Black,,Master,"Biochemistry, Cell Biology",Middle Eastern or Arabic,,,,synthetic,1731175358.87268
"By nature, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports gravitate towards hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6' (183cm),200 lbs (91kg),Brown,Brown,,Bachelor,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.873016
"Characteristically, 6'2"" music maven. music makes the world go round for. doe-eyed and 6’2”, this bilingual student is at present focused on an associate’s degree in real estate. his true passion, however, is in his work as a music producer and event organizer. this donor does it all: music writing, sound design, video production, performing – even animation for on-stage visuals. although he gets plenty of physical activity from his high-energy performances, he still runs or lifts most days of the week.",6'2 (188cm),142 lbs (64kg),Brown,Black,,Other,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,Spiritual,,,synthetic,1731175358.873543
"By nature, by nature, coding cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a bs in computer science. with wavy dark hair, this hardpursuing a career guy is a full-time student who also works in the evening. despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. he weightlifts eremarkably day, and adores going to the gym to catch up with friends. lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'7 (170cm),142 lbs (64kg),Brown,Black,,Master,"Computer Info Systems, Computer Science",Middle Eastern or Arabic,,,,synthetic,1731175358.874054
"As a person, green-eyed dentist. a outstandinghearted dentist who cooks and speaks fluent arabic? sign us up! has emerald green eyes, brown hair and full lips but there's more to love. outside of his orthodontic fellowship, he delights in crossfit and learning new things in the kitchen. if that wasn't impressive enough, he's genuinely a outstanding person with a kind and thoughtful nature. when one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'10 (178cm),200 lbs (91kg),Green,Black,,Bachelor,Dentistry,Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.874482
"As a person, green-eyed dentist. a excellenthearted dentist who cooks and speaks fluent arabic? sign us up! has emerald green eyes, brown hair and full lips but there's more to love. outside of his orthodontic fellowship, he is devoted about crossfit and learning new things in the kitchen. if that wasn't impressive enough, he's genuinely a excellent person with a kind and thoughtful nature. when one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'10 (178cm),195 lbs (88kg),Green,Brown,,Master,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.874908
"As a person, as a person, faro. is an incredibly thoughtful, genuine, and unbelievably smart man. faro is presently a internal medicine doctor who is active to specialize in hepatology and liver transplant surgeries. faro has a brilliant mind and a kind heart which makes him an overall fantastic donor! he has a lean build with dark eyes and hair. he is exceptionally healthy and maintains a healthy physique. faro is devoted about to serve others and is committed about caring for those in need. is an incredible man with an amazing heart and will make a fantastic donor for your family!","6'0""",180,,Black,,,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.8752692
"Primarily, high-achieving ph.d.. an award-winning bilingual (english/farsi) mathematician with a ph.d. in biomedical engineering (4.0 gpa), comes from a long line of high achievers, including physicians, engineers, judges, dentists, and educators. open-minded and adventurous, this avid mountain climber treasures cold climates almost as much as he is committed about dancing and singing with friends, playing volleyball and snowboarding, and indulging in his nonagenarian grandmother’s amazing traditional persian cooking.",6'2 (188cm),163 lbs (74kg),Green,Brown,,Master,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.8757088
"Primarily, typically, 6'2"" music maven. music makes the world go round for. doe-eyed and 6’2”, this bilingual student is as of now focused on an associate’s degree in real estate. his true passion, however, is in his work as a music producer and event organizer. this donor does it all: music writing, sound design, video production, performing – even animation for on-stage visuals. although he gets plenty of physical activity from his high-energy performances, he still runs or lifts most days of the week.",6'2 (188cm),142 lbs (64kg),Green,Black,,Other,"Construction Project Management, Marketing, Music, Real Estate",Middle Eastern or Arabic,Spiritual,,,synthetic,1731175358.876267
"In general, faro. is an incredibly thoughtful, genuine, and unbelievably smart man. faro is at present a internal medicine doctor who is involved to specialize in hepatology and liver transplant surgeries. faro has a brilliant mind and a kind heart which makes him an overall fantastic donor! he has a lean build with dark eyes and hair. he is especially healthy and maintains a healthy physique. faro is enthusiastic about to serve others and is committed about caring for those in need. is an incredible man with an amazing heart and will make a fantastic donor for your family!","5'11""",173 lbs (78kg),Black,,,Other,Economics,Middle Eastern or Arabic,,,,synthetic,1731175358.876601
"By nature, persian dream. watch out, aladdin, doesn't need a magic lamp to fulfill his dreams. multilingual and with a post-graduate education in science, he's perfectly positioned to succeed anywhere in the world, which he cherishes to explore. he's 5'7""/173 lbs with brown eyes and curly brown hair, and plans to balance his professional career with a strong family life. with curiosity and compassion as his life guides, he seems bound to succeed.. arian moayad javad nekounam",6'2 (188cm),173 lbs (78kg),Brown,Black,,Master,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.876941
"Gold-Hearted Dentist. 's striking features—big, beautiful brown eyes, full lashes, cleft chin, and amazing mustache—are outshined by his most remarkable trait: a heart of gold. Guided by his father's lessons on kindness, he's woven this virtue into eparticularly aspect of his life and career. A childhood fascination with dentistry led to a Summa Cum Laude B.S. in Biology, followed by a D.D.S. Today, this dedicated, multilingual (English/Farsi/Spanish) dentist cares for the underserved at a public health clinic.",5'10 (178cm),163 lbs (74kg),Brown,Black,,Postgraduate,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,,,,synthetic,1731175358.877341
"As a person, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports value hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6' (183cm),200 lbs (91kg),Brown,Brown,,Bachelor,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.8776839
"Characteristically, coding cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a bs in computer science. with wavy dark hair, this hardengaged guy is a full-time student who also works in the evening. despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. he weightlifts eparticularly day, and adores going to the gym to catch up with friends. lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'10 (178cm),177 lbs (80kg),Brown,Brown,,Other,"Construction Project Management, Marketing, Music, Real Estate",Middle Eastern or Arabic,,,,synthetic,1731175358.878073
"Primarily, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports gravitate towards hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6' (183cm),173 lbs (78kg),Brown,Dark Brown,,Master,Economics,Middle Eastern or Arabic,,,,synthetic,1731175358.878377
"For the most part, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports favor hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6' (183cm),137 lbs (62kg),Brown,Brown,,Bachelor,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.8787332
"Primarily, in general, a helping hand. moved to the us from iran in his mid-twenties with a minimal knowledge of english and a dream—he wanted to get a great education in healthcare. this motivated and intelligent hard-worker has done just that. he has completed his bachelor’s degree in kinesiology and is looking forward to receiving a physical therapy or healthcare management degree in graduate school. this kind and comcommitted family-man is close with almost eespecially member of his family, and often talks to his grandmother on the phone for hours at a time. he is enthusiastic about to spend time with his friends and help anyone (or anything) in need—he received an associate’s degree in veterinary science.. jeff goldblum (young) mark ruffalo",5'7 (170cm),195 lbs (88kg),Brown,Brown,,Postgraduate,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.879306
"As a person, 6'2"" music maven. music makes the world go round for. doe-eyed and 6’2”, this bilingual student is at the moment active on an associate’s degree in real estate. his true passion, however, is in his work as a music producer and event organizer. this donor does it all: music writing, sound design, video production, performing – even animation for on-stage visuals. although he gets plenty of physical activity from his high-energy performances, he still runs or lifts most days of the week.",5'10 (178cm),142 lbs (64kg),Black,Black,,Other,"Computer Info Systems, Computer Science",Middle Eastern or Arabic,Spiritual,,,synthetic,1731175358.8798
"Primarily, primarily, green-eyed dentist. a greathearted dentist who cooks and speaks fluent arabic? sign us up! has emerald green eyes, brown hair and full lips but there's more to love. outside of his orthodontic fellowship, he cherishes crossfit and learning new things in the kitchen. if that wasn't impressive enough, he's genuinely a great person with a kind and thoughtful nature. when one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'9 (175cm),210 lbs (95kg),Green,Brown,,Master,"Biochemistry, Cell Biology",Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.880299
"Faro. is an incredibly thoughtful, genuine, and unbelievably smart man. Faro is at present a internal medicine doctor who is involved to specialize in hepatology and liver transplant surgeries. Faro has a brilliant mind and a kind heart which makes him an overall fantastic donor! He has a lean build with dark eyes and hair. He is notably healthy and maintains a healthy physique. Faro treasures to serve others and is committed about caring for those in need. is an incredible man with an amazing heart and will make a fantastic donor for your family!",5'10 (178cm),200 lbs (91kg),,,,Bachelor,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.8806689
"For the most part, high-achieving ph.d.. an award-winning bilingual (english/farsi) mathematician with a ph.d. in biomedical engineering (4.0 gpa), comes from a long line of high achievers, including physicians, engineers, judges, dentists, and educators. open-minded and adventurous, this avid mountain climber is enthusiastic about cold climates almost as much as he has a fondness for dancing and singing with friends, playing volleyball and snowboarding, and indulging in his nonagenarian grandmother’s amazing traditional persian cooking.",5'10 (178cm),181 lbs (82kg),Brown,Dark Brown,,Bachelor,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.88123
"Overall, as a person, characteristically, a helping hand. moved to the us from iran in his mid-twenties with a minimal knowledge of english and a dream—he wanted to get a great education in healthcare. this motivated and intelligent hard-worker has done just that. he has completed his bachelor’s degree in kinesiology and is looking forward to receiving a physical therapy or healthcare management degree in graduate school. this kind and comdedicated family-man is close with almost eespecially member of his family, and often talks to his grandmother on the phone for hours at a time. he is enthusiastic about to spend time with his friends and help anyone (or anything) in need—he received an associate’s degree in veterinary science.. jeff goldblum (young) mark ruffalo",6' (183cm),142 lbs (64kg),Brown,Black,,Master,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.881879
"By nature, green-eyed dentist. a excellenthearted dentist who cooks and speaks fluent arabic? sign us up! has emerald green eyes, brown hair and full lips but there's more to love. outside of his orthodontic fellowship, he is dedicated about crossfit and learning new things in the kitchen. if that wasn't impressive enough, he's genuinely a excellent person with a kind and thoughtful nature. when one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'7 (170cm),210 lbs (95kg),Brown,Brown,,Master,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.8823192
"Typically, primarily, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports value hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6' (183cm),137 lbs (62kg),Brown,Black,,Postgraduate,Dentistry,Middle Eastern or Arabic,,,,synthetic,1731175358.882703
"In general, green-eyed dentist. a greathearted dentist who cooks and speaks fluent arabic? sign us up! has emerald green eyes, brown hair and full lips but there's more to love. outside of his orthodontic fellowship, he favors crossfit and learning new things in the kitchen. if that wasn't impressive enough, he's genuinely a great person with a kind and thoughtful nature. when one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",6'2 (188cm),210 lbs (95kg),Green,Brown,,Bachelor,"Biochemistry, Cell Biology",Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.883116
"In general, characteristically, primarily, high-achieving ph.d.. an award-winning bilingual (english/farsi) mathematician with a ph.d. in biomedical engineering (4.0 gpa), comes from a long line of high achievers, including physicians, engineers, judges, dentists, and educators. open-minded and adventurous, this avid mountain climber is motivated about cold climates almost as much as he is motivated about dancing and singing with friends, playing volleyball and snowboarding, and indulging in his nonagenarian grandmother’s amazing traditional persian cooking.",5'10 (178cm),181 lbs (82kg),Brown,Black,,Postgraduate,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,,,,synthetic,1731175358.8836758
"In general, a helping hand. moved to the us from iran in his mid-twenties with a minimal knowledge of english and a dream—he wanted to get a great education in healthcare. this motivated and intelligent hard-worker has done just that. he has completed his bachelor’s degree in kinesiology and is looking forward to receiving a physical therapy or healthcare management degree in graduate school. this kind and commotivated family-man is close with almost eremarkably member of his family, and often talks to his grandmother on the phone for hours at a time. he appreciates to spend time with his friends and help anyone (or anything) in need—he received an associate’s degree in veterinary science.. jeff goldblum (young) mark ruffalo",5'10 (178cm),195 lbs (88kg),Brown,Black,,Master,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.884212
"Characteristically, persian dream. watch out, aladdin, doesn't need a magic lamp to fulfill his dreams. multilingual and with a post-graduate education in science, he's perfectly positioned to succeed anywhere in the world, which he is driven about to explore. he's 5'7""/173 lbs with brown eyes and curly brown hair, and plans to balance his professional career with a strong family life. with curiosity and compassion as his life guides, he seems bound to succeed.. arian moayad javad nekounam",5'7 (170cm),177,Green,Brown,,Master,"Bio-Psychology, Neuroscience",Middle Eastern or Arabic,,,,synthetic,1731175358.884649
"Green-Eyed Dentist. A outstandinghearted dentist who cooks and speaks fluent Arabic? Sign us up! has emerald green eyes, brown hair and full lips but there's more to love. Outside of his orthodontic fellowship, he delights in CrossFit and learning new things in the kitchen. If that wasn't impressive enough, he's genuinely a outstanding person with a kind and thoughtful nature. When one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'10 (178cm),210 lbs (95kg),Brown,Brown,,Bachelor,Dentistry,Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.885092
"Gold-Hearted Dentist. 's striking features—big, beautiful brown eyes, full lashes, cleft chin, and amazing mustache—are outshined by his most remarkable trait: a heart of gold. Guided by his father's lessons on kindness, he's woven this virtue into eparticularly aspect of his life and career. A childhood fascination with dentistry led to a Summa Cum Laude B.S. in Biology, followed by a D.D.S. Today, this dedicated, multilingual (English/Farsi/Spanish) dentist cares for the underserved at a public health clinic.",6'2 (188cm),181 lbs (82kg),Brown,Black,,Postgraduate,"Construction Project Management, Marketing, Music, Real Estate",Middle Eastern or Arabic,,,,synthetic,1731175358.885532
"By nature, a helping hand. moved to the us from iran in his mid-twenties with a minimal knowledge of english and a dream—he wanted to get a great education in healthcare. this motivated and intelligent hard-worker has done just that. he has completed his bachelor’s degree in kinesiology and is looking forward to receiving a physical therapy or healthcare management degree in graduate school. this kind and commotivated family-man is close with almost equite member of his family, and often talks to his grandmother on the phone for hours at a time. he is enthusiastic about to spend time with his friends and help anyone (or anything) in need—he received an associate’s degree in veterinary science.. jeff goldblum (young) mark ruffalo","5'11""",184,Brown,Black,,Postgraduate,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.886113
"Primarily, high-achieving ph.d.. an award-winning bilingual (english/farsi) mathematician with a ph.d. in biomedical engineering (4.0 gpa), comes from a long line of high achievers, including physicians, engineers, judges, dentists, and educators. open-minded and adventurous, this avid mountain climber has a fondness for cold climates almost as much as he delights in dancing and singing with friends, playing volleyball and snowboarding, and indulging in his nonagenarian grandmother’s amazing traditional persian cooking.",5'10 (178cm),177 lbs (80kg),Brown,Dark Brown,,Postgraduate,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.886558
"As a person, typically, hale. hale () is one of the sweetest guy i have ever met. he is notably calm, and always so happy! he has a fair to medium tone complexion, black curly hair, black facial hair, and dark eyes. all make for notably admirable features. hale is also an impeccable dresser.",5'7 (170cm),233,,Black,,Master,"Biochemistry, Cell Biology",Middle Eastern or Arabic,,,,synthetic,1731175358.88689
"Memorable Multi-Linguist. Warm brown eyes compliment 's exotic excellent looks and athletic physique. Kind, friendly, and intelligent, this well-rounded donor is an eternal optimist. With a passion for helping others and a strong, competitive spirit, he has amassed a lifetime of success at a exceptionally young age. He speaks three foreign languages (Arabic, Farsi, French), has played professional soccer, and is as of now finishing a post-doctoral fellowship in biochemistry. Comenthusiastic and altruistic, he also prefers reading, playing piano and spending time with loved ones. His motivation for being a donor? To help others achieve their dream of starting a family.. Mike Batayeh Prince Naseem",6' (183cm),200 lbs (91kg),Brown,Black,,Postgraduate,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,,,,synthetic,1731175358.8872662
"Persian Dream. Watch out, Aladdin, doesn't need a magic lamp to fulfill his dreams. Multilingual and with a post-graduate education in science, he's perfectly positioned to succeed anywhere in the world, which he is enthusiastic about to explore. He's 5'7""/173 lbs with brown eyes and curly brown hair, and plans to balance his professional career with a strong family life. With curiosity and compassion as his life guides, he seems bound to succeed.. Arian Moayad Javad Nekounam",6'2 (188cm),173 lbs (78kg),Brown,Black,,Postgraduate,"Computer Info Systems, Computer Science",Middle Eastern or Arabic,,,,synthetic,1731175358.887588
"Characteristically, persian dream. watch out, aladdin, doesn't need a magic lamp to fulfill his dreams. multilingual and with a post-graduate education in science, he's perfectly positioned to succeed anywhere in the world, which he treasures to explore. he's 5'7""/173 lbs with brown eyes and curly brown hair, and plans to balance his professional career with a strong family life. with curiosity and compassion as his life guides, he seems bound to succeed.. arian moayad javad nekounam","5'11""",173 lbs (78kg),Brown,Brown,,Postgraduate,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,,,,synthetic,1731175358.887928
"In general, a helping hand. moved to the us from iran in his mid-twenties with a minimal knowledge of english and a dream—he wanted to get a great education in healthcare. this motivated and intelligent hard-worker has done just that. he has completed his bachelor’s degree in kinesiology and is looking forward to receiving a physical therapy or healthcare management degree in graduate school. this kind and comdevoted family-man is close with almost eremarkably member of his family, and often talks to his grandmother on the phone for hours at a time. he is driven about to spend time with his friends and help anyone (or anything) in need—he received an associate’s degree in veterinary science.. jeff goldblum (young) mark ruffalo",5'10 (178cm),137 lbs (62kg),Brown,Black,,Master,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.888573
"In general, by nature, in general, coding cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a bs in computer science. with wavy dark hair, this hardengaged guy is a full-time student who also works in the evening. despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. he weightlifts enotably day, and cherishes going to the gym to catch up with friends. lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'10 (178cm),177 lbs (80kg),Brown,Black,,Postgraduate,"Computer Info Systems, Computer Science",Middle Eastern or Arabic,,,,synthetic,1731175358.889051
"In general, by nature, in general, memorable multi-linguist. warm brown eyes compliment 's exotic excellent looks and athletic physique. kind, friendly, and intelligent, this well-rounded donor is an eternal optimist. with a passion for helping others and a strong, competitive spirit, he has amassed a lifetime of success at a remarkably young age. he speaks three foreign languages (arabic, farsi, french), has played professional soccer, and is at present finishing a post-doctoral fellowship in biochemistry. comenthusiastic and altruistic, he also favors reading, playing piano and spending time with loved ones. his motivation for being a donor? to help others achieve their dream of starting a family.. mike batayeh prince naseem",5'9 (175cm),137 lbs (62kg),Brown,Brown,,Postgraduate,"Biochemistry, Cell Biology",Middle Eastern or Arabic,,,,synthetic,1731175358.8895118
"As a person, hale. hale () is one of the sweetest guy i have ever met. he is exceptionally calm, and always so happy! he has a fair to medium tone complexion, black curly hair, black facial hair, and dark eyes. all make for exceptionally admirable features. hale is also an impeccable dresser.",5'10 (178cm),195 lbs (88kg),,,,,Economics,Middle Eastern or Arabic,,,,synthetic,1731175358.889817
"Persian Dream. Watch out, Aladdin, doesn't need a magic lamp to fulfill his dreams. Multilingual and with a post-graduate education in science, he's perfectly positioned to succeed anywhere in the world, which he treasures to explore. He's 5'7""/173 lbs with brown eyes and curly brown hair, and plans to balance his professional career with a strong family life. With curiosity and compassion as his life guides, he seems bound to succeed.. Arian Moayad Javad Nekounam",5'7 (170cm),195 lbs (88kg),Brown,Brown,,Postgraduate,"Bio-Psychology, Neuroscience",Middle Eastern or Arabic,,,,synthetic,1731175358.890134
"As a person, for the most part, faro. is an incredibly thoughtful, genuine, and unbelievably smart man. faro is these days a internal medicine doctor who is pursuing a career to specialize in hepatology and liver transplant surgeries. faro has a brilliant mind and a kind heart which makes him an overall fantastic donor! he has a lean build with dark eyes and hair. he is notably healthy and maintains a healthy physique. faro adores to serve others and is devoted about caring for those in need. is an incredible man with an amazing heart and will make a fantastic donor for your family!",5'10 (178cm),163 lbs (74kg),Brown,,,Postgraduate,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.890653
"For the most part, characteristically, primarily, 6'2"" music maven. music makes the world go round for. doe-eyed and 6’2”, this bilingual student is at the moment active on an associate’s degree in real estate. his true passion, however, is in his work as a music producer and event organizer. this donor does it all: music writing, sound design, video production, performing – even animation for on-stage visuals. although he gets plenty of physical activity from his high-energy performances, he still runs or lifts most days of the week.",6'2 (188cm),181 lbs (82kg),Black,Black,,Other,"Bio-Psychology, Neuroscience",Middle Eastern or Arabic,Spiritual,,,synthetic,1731175358.8913112
